GLOBAL LIQUIDITY RANKING REPORT
================================================================================================================
Rank  Car Name                                                         Volume       Mean Price         CV  Liquidity
 164  رانا / LX / دنده ای                                                  46    1,067,934,783     0.1044     2.6683
 165  پژو / پارس / ELX-XU7P                                                45    1,908,466,667     0.1021     2.6563
 166  هایما / S5 / 6 سرعته اتوماتیک                                        45    3,660,000,000     0.1056     2.6550
 167  بنز / کلاس A سدان / A200L                                            45   15,807,111,111     0.1240     2.6476
 168  فونیکس / FX / پریمیوم AWD                                            44    6,015,000,000     0.0947     2.6461
 169  کوییک / اتوماتیک پلاس / اتوماتیک                                     43    1,352,139,535     0.0717     2.6418
 170  مزدا / 3 قدیم / تیپ3                                                 43    2,736,441,860     0.0964     2.6320
 171  ب ام و / سری 7 / 730li                                               44   28,902,272,727     0.1323     2.6311
 172  فیدلیتی / پرستیژ / تیپ 2 هفت نفره                                    42    6,597,416,667     0.0652     2.6307
 173  هایما / S7 / 1.5 لیتر توربو پرو                                      41    4,260,609,756     0.0479     2.6235
 174  پژو / 405 / SLX موتور TU5                                            44    1,305,068,182     0.1750     2.6140
 175  پژو / 207 / MC اتوماتیک                                              40    2,094,875,000     0.0483     2.6088
 176  هوندا / eNS1 / 150 کیلووات                                           41    6,139,512,195     0.1015     2.6020
 177  لکسوس / RX / 350 موتور 3.5                                           42   11,589,523,810     0.1514     2.5962
 178  سهند / S دنده ای / بنزینی                                            40    1,422,675,000     0.0910     2.5918
 179  رنو / تندر 90 / اتوماتیک                                             41    1,928,902,439     0.1312     2.5901
 180  سمند / LX / EF7                                                      43    1,012,209,302     0.2027     2.5894
 181  فونیکس / تیگو 7 پرو مکس (F7 PRO MAX) / 1.6 لیتر توربو AWD            39    6,436,435,897     0.0852     2.5793
 182  فولکس / تایرون L / 1.5 لیتر توربو                                    38    9,472,368,421     0.0558     2.5758
 183  تویوتا / لوین / 1.2 لیتر توربو                                       39    6,238,461,538     0.1038     2.5718
 184  شاهین / پلاس اتوماتیک AT / تیپ G                                     38    2,765,131,579     0.0779     2.5670
 185  تویوتا / لندکروز چهار در / 6 سیلندر 3.4 توربو VXR                    40   60,972,500,000     0.1555     2.5660
 186  مزدا / 3 نیو صندوق دار / 2.0 لیتر تیپ 3                              38    3,560,657,895     0.0941     2.5605
 187  تویوتا / هایلندر هیبرید / 2.5 لیتر دو دیفرانسیل                      37   20,918,918,919     0.0678     2.5554
 188  فردا / SX5 / اتوماتیک                                                37    3,509,729,730     0.0709     2.5542
 189  فردا / T5 / اتوماتیک                                                 37    4,252,837,838     0.0776     2.5515
 190  کی ام سی / A5 / 1.5 لیتر توربو                                       37    4,162,418,919     0.0787     2.5511
 191  شوال / 6HEV / 1.5 لیتر توربو                                         37    5,908,378,378     0.0814     2.5500
 192  دیگنیتی / پرستیژ / اتوماتیک                                          36    5,223,055,556     0.0704     2.5384
 193  فونیکس / تیگو 8 پرو هیبرید (F8 PRO PHEV) / e پلاس                    36    7,373,583,333     0.0716     2.5379
 194  تویوتا / کرولا / 1.2 لیتر توربو                                      36    5,865,277,778     0.0868     2.5318
 195  نیسان / آلتیما / 2.0 لیتر                                            35    8,817,714,286     0.0483     2.5308
 196  جک / جی 5 / 1.8 لیتر اتوماتیک                                        37    1,829,324,324     0.1294     2.5308
 197  کیا / سورنتو / 4 سیلندر GT لاین                                      38   10,087,894,737     0.1729     2.5290
 198  رنو / تندر 90 / پلاس اتوماتیک                                        37    2,631,297,297     0.1545     2.5208
 199  کی ام سی / K7 / اتوماتیک                                             37    4,789,729,730     0.1570     2.5198
 200  ایرس / HM5 EREV / 1.5 لیتر توربو                                     34   10,724,705,882     0.0412     2.5167
 201  فوتون / تونلند G7 / بنزینی                                           35    6,091,142,857     0.0927     2.5130
 202  هیوندای / سوناتا هیبرید / تیپ 3 (GLS Plus)                           34    7,391,176,471     0.0907     2.4969
 203  هیوندای / جنسیس / اتوماتیک                                           36    7,241,111,111     0.1777     2.4955
 204  سوزوکی / بالنو / 1.5 لیتر                                            33    5,100,606,061     0.0612     2.4913
 205  تویوتا / راوفور هیبرید / دو دیفرانسیل                                34   14,380,382,353     0.1135     2.4878
 206  ام وی ام / X33 S / 5 سرعته اتوماتیک                                  33    2,990,909,091     0.0760     2.4854
 207  اکستریم / TXL (TX) / 2.0 لیتر توربو                                  33    8,472,424,242     0.0880     2.4806
 208  اکستریم / LX (SX) / 1.6 لیتر توربو                                   32    7,042,968,750     0.0607     2.4736
 209  مکث موتور / کلوت / اتوماتیک تیپ 2                                    34    4,282,558,824     0.1568     2.4705
 210  بنز / کلاس E / E250                                                  33   16,833,030,303     0.1160     2.4694
 211  هوندا / وزل / 1.5 لیتر                                               32    7,153,750,000     0.0846     2.4641
 212  ام وی ام / X33 / دنده ای                                             33    1,452,575,758     0.1380     2.4606
 213  فونیکس / FX EV / 150 کیلو وات                                        34    4,661,676,471     0.1887     2.4577
 214  تویوتا / کمری هیبرید / 2.5 لیتر لومیر                                31   17,289,677,419     0.0785     2.4481
 215  پژو / 206 / تیپ 3 پانوراما                                           30    1,569,666,667     0.0365     2.4458
 216  لاماری / اکو / 1.5 لیتر توربو                                        32    4,252,500,000     0.1304     2.4457
 217  لیفان / X60 / دنده ای                                                31    1,494,516,129     0.1024     2.4385
 218  هیوندای / سانتافه / 6 سیلندر                                         33    4,391,212,121     0.1952     2.4377
